season_id,date,team_id,opponent_id,X,is_home,match_number
random_0,2026-08-01,0,14,-0.0,False,0
random_0,2026-08-02,0,8,0.0,True,1
random_0,2026-08-03,0,16,-3.0,False,2
random_0,2026-08-04,0,3,-2.0,True,3
random_0,2026-08-05,0,13,-1.0,True,4
random_0,2026-08-06,0,5,3.0,False,5
random_0,2026-08-07,0,18,2.0,True,6
random_0,2026-08-08,0,15,-2.0,False,7
random_0,2026-08-09,0,12,0.0,True,8
random_0,2026-08-10,0,11,-1.0,False,9
random_0,2026-08-11,0,17,-1.0,True,10
random_0,2026-08-12,0,9,-3.0,False,11
random_0,2026-08-13,0,4,3.0,True,12
random_0,2026-08-14,0,10,1.0,True,13
random_0,2026-08-15,0,1,1.0,False,14
random_0,2026-08-16,0,6,0.0,True,15
random_0,2026-08-17,0,19,-0.0,False,16
random_0,2026-08-18,0,7,-1.0,False,17
random_0,2026-08-19,0,2,-1.0,True,18
random_0,2026-08-20,0,4,-6.0,False,19
random_0,2026-08-21,0,11,2.0,True,20
random_0,2026-08-22,0,17,2.0,False,21
random_0,2026-08-23,0,9,0.0,True,22
random_0,2026-08-24,0,12,-0.0,False,23
random_0,2026-08-25,0,2,1.0,False,24
random_0,2026-08-26,0,7,-1.0,True,25
random_0,2026-08-27,0,6,2.0,False,26
random_0,2026-08-28,0,19,1.0,True,27
random_0,2026-08-29,0,16,-2.0,True,28
random_0,2026-08-30,0,3,3.0,False,29
random_0,2026-08-31,0,14,-1.0,True,30
random_0,2026-09-01,0,8,-0.0,False,31
random_0,2026-09-02,0,1,0.0,True,32
random_0,2026-09-03,0,10,1.0,False,33
random_0,2026-09-04,0,15,0.0,True,34
random_0,2026-09-05,0,18,6.0,False,35
random_0,2026-09-06,0,5,-1.0,True,36
random_0,2026-09-07,0,13,2.0,False,37
random_0,2026-08-01,1,6,0.0,True,0
random_0,2026-08-02,1,2,2.0,False,1
random_0,2026-08-03,1,5,1.0,True,2
random_0,2026-08-04,1,18,-0.0,False,3
random_0,2026-08-05,1,4,1.0,False,4
random_0,2026-08-06,1,12,1.0,True,5
random_0,2026-08-07,1,17,-1.0,False,6
random_0,2026-08-08,1,8,1.0,True,7
random_0,2026-08-09,1,13,-1.0,False,8
random_0,2026-08-10,1,10,0.0,True,9
random_0,2026-08-11,1,16,3.0,False,10
random_0,2026-08-12,1,14,1.0,True,11
random_0,2026-08-13,1,3,-0.0,False,12
random_0,2026-08-14,1,19,2.0,False,13
random_0,2026-08-15,1,0,-1.0,True,14
random_0,2026-08-16,1,15,-2.0,True,15
random_0,2026-08-17,1,7,-0.0,False,16
random_0,2026-08-18,1,9,-0.0,False,17
random_0,2026-08-19,1,11,3.0,True,18
random_0,2026-08-20,1,3,3.0,True,19
random_0,2026-08-21,1,10,1.0,False,20
random_0,2026-08-22,1,16,-3.0,True,21
random_0,2026-08-23,1,14,-1.0,False,22
random_0,2026-08-24,1,13,1.0,True,23
random_0,2026-08-25,1,11,-0.0,False,24
random_0,2026-08-26,1,9,0.0,True,25
random_0,2026-08-27,1,15,2.0,False,26
random_0,2026-08-28,1,7,-4.0,True,27
random_0,2026-08-29,1,5,-3.0,False,28
random_0,2026-08-30,1,18,-4.0,True,29
random_0,2026-08-31,1,6,1.0,False,30
random_0,2026-09-01,1,2,0.0,True,31
random_0,2026-09-02,1,0,-0.0,False,32
random_0,2026-09-03,1,19,2.0,True,33
random_0,2026-09-04,1,12,-0.0,False,34
random_0,2026-09-05,1,17,-2.0,True,35
random_0,2026-09-06,1,8,-1.0,False,36
random_0,2026-09-07,1,4,0.0,True,37
random_0,2026-08-01,2,4,3.0,False,0
random_0,2026-08-02,2,1,-2.0,True,1
random_0,2026-08-03,2,10,1.0,False,2
random_0,2026-08-04,2,17,0.0,True,3
random_0,2026-08-05,2,19,-0.0,False,4
random_0,2026-08-06,2,3,-2.0,True,5
random_0,2026-08-07,2,16,3.0,False,6
random_0,2026-08-08,2,14,2.0,True,7
random_0,2026-08-09,2,9,1.0,True,8
random_0,2026-08-10,2,15,-3.0,False,9
random_0,2026-08-11,2,18,-1.0,True,10
random_0,2026-08-12,2,11,2.0,False,11
random_0,2026-08-13,2,8,0.0,True,12
random_0,2026-08-14,2,7,-1.0,True,13
random_0,2026-08-15,2,6,-3.0,False,14
random_0,2026-08-16,2,5,-2.0,False,15
random_0,2026-08-17,2,12,1.0,True,16
random_0,2026-08-18,2,13,-3.0,True,17
random_0,2026-08-19,2,0,1.0,False,18
random_0,2026-08-20,2,8,-2.0,False,19
random_0,2026-08-21,2,15,-1.0,True,20
random_0,2026-08-22,2,9,1.0,False,21
random_0,2026-08-23,2,11,1.0,True,22
random_0,2026-08-24,2,18,-5.0,False,23
random_0,2026-08-25,2,0,-1.0,True,24
random_0,2026-08-26,2,12,5.0,False,25
random_0,2026-08-27,2,5,0.0,True,26
random_0,2026-08-28,2,13,-0.0,False,27
random_0,2026-08-29,2,10,-2.0,True,28
random_0,2026-08-30,2,17,2.0,False,29
random_0,2026-08-31,2,4,2.0,True,30
random_0,2026-09-01,2,1,-0.0,False,31
random_0,2026-09-02,2,6,-1.0,True,32
random_0,2026-09-03,2,7,1.0,False,33
random_0,2026-09-04,2,3,-3.0,False,34
random_0,2026-09-05,2,16,2.0,True,35
random_0,2026-09-06,2,14,-4.0,False,36
random_0,2026-09-07,2,19,2.0,True,37
random_0,2026-08-01,3,19,1.0,True,0
random_0,2026-08-02,3,12,1.0,False,1
random_0,2026-08-03,3,18,0.0,True,2
random_0,2026-08-04,3,0,2.0,False,3
random_0,2026-08-05,3,5,1.0,True,4
random_0,2026-08-06,3,2,2.0,False,5
random_0,2026-08-07,3,13,5.0,True,6
random_0,2026-08-08,3,10,2.0,False,7
random_0,2026-08-09,3,17,0.0,True,8
random_0,2026-08-10,3,4,-0.0,False,9
random_0,2026-08-11,3,8,2.0,True,10
random_0,2026-08-12,3,15,1.0,False,11
random_0,2026-08-13,3,1,0.0,True,12
random_0,2026-08-14,3,14,-4.0,True,13
random_0,2026-08-15,3,9,-2.0,False,14
random_0,2026-08-16,3,16,0.0,True,15
random_0,2026-08-17,3,11,-2.0,False,16
random_0,2026-08-18,3,6,1.0,False,17
random_0,2026-08-19,3,7,2.0,True,18
random_0,2026-08-20,3,1,-3.0,False,19
random_0,2026-08-21,3,4,-2.0,True,20
random_0,2026-08-22,3,8,-4.0,False,21
random_0,2026-08-23,3,15,0.0,True,22
random_0,2026-08-24,3,17,3.0,False,23
random_0,2026-08-25,3,7,-2.0,False,24
random_0,2026-08-26,3,6,1.0,True,25
random_0,2026-08-27,3,16,1.0,False,26
random_0,2026-08-28,3,11,0.0,True,27
random_0,2026-08-29,3,18,-2.0,False,28
random_0,2026-08-30,3,0,-3.0,True,29
random_0,2026-08-31,3,19,2.0,False,30
random_0,2026-09-01,3,12,0.0,True,31
random_0,2026-09-02,3,9,-1.0,True,32
random_0,2026-09-03,3,14,-2.0,False,33
random_0,2026-09-04,3,2,3.0,True,34
random_0,2026-09-05,3,13,-1.0,False,35
random_0,2026-09-06,3,10,-1.0,True,36
random_0,2026-09-07,3,5,-1.0,False,37
random_0,2026-08-01,4,2,-3.0,True,0
random_0,2026-08-02,4,5,1.0,False,1
random_0,2026-08-03,4,12,-1.0,True,2
random_0,2026-08-04,4,6,-1.0,False,3
random_0,2026-08-05,4,1,-1.0,True,4
random_0,2026-08-06,4,18,3.0,False,5
random_0,2026-08-07,4,7,2.0,True,6
random_0,2026-08-08,4,13,1.0,False,7
random_0,2026-08-09,4,14,-3.0,False,8
random_0,2026-08-10,4,3,0.0,True,9
random_0,2026-08-11,4,10,2.0,False,10
random_0,2026-08-12,4,16,-1.0,True,11
random_0,2026-08-13,4,0,-3.0,False,12
random_0,2026-08-14,4,17,-1.0,False,13
random_0,2026-08-15,4,8,2.0,True,14
random_0,2026-08-16,4,11,3.0,True,15
random_0,2026-08-17,4,9,-1.0,False,16
random_0,2026-08-18,4,19,-2.0,False,17
random_0,2026-08-19,4,15,-3.0,True,18
random_0,2026-08-20,4,0,6.0,True,19
random_0,2026-08-21,4,3,2.0,False,20
random_0,2026-08-22,4,14,0.0,True,21
random_0,2026-08-23,4,16,-2.0,False,22
random_0,2026-08-24,4,10,-1.0,True,23
random_0,2026-08-25,4,15,3.0,False,24
random_0,2026-08-26,4,19,-1.0,True,25
random_0,2026-08-27,4,11,-1.0,False,26
random_0,2026-08-28,4,9,2.0,True,27
random_0,2026-08-29,4,12,1.0,False,28
random_0,2026-08-30,4,6,1.0,True,29
random_0,2026-08-31,4,2,-2.0,False,30
random_0,2026-09-01,4,5,0.0,True,31
random_0,2026-09-02,4,8,-0.0,False,32
random_0,2026-09-03,4,17,3.0,True,33
random_0,2026-09-04,4,18,-1.0,True,34
random_0,2026-09-05,4,7,2.0,False,35
random_0,2026-09-06,4,13,-2.0,True,36
